question_id,disease_category,disease_prevalence,question_type,requires_visual_reasoning,original_disease,canonical_disease,disease_subcategory
223,Neoplastic,moderate,diagnosis,False,Metastatic Breast Carcinoma To The Ovary,Metastatic Breast Carcinoma To The Ovary,Malignant
224,Neoplastic,rare,diagnosis,False,Primary Small-Cell Neuroendocrine Carcinoma Of The Breast,Primary Small-Cell Neuroendocrine Carcinoma Of The Breast,Malignant
225,Genetic Rare,rare,diagnosis,False,Familial Partial Lipodystrophy Type 3,Familial Partial Lipodystrophy Type 3,Metabolic-Genetic
226,Inflammatory,rare,diagnosis,False,Immune Checkpoint Inhibitor-Associated Brachial Plexopathy,Immune Checkpoint Inhibitor-Associated Brachial Plexopathy,Autoimmune
228,Neoplastic,rare,diagnosis,False,Glycogen-Rich Clear Cell Carcinoma Of The Breast,Glycogen-Rich Clear Cell Carcinoma of the Breast,Malignant
227,Inflammatory,moderate,diagnosis,False,Anca-Associated Vasculitis (Anti-Mpo),ANCA-Associated Vasculitis,Vascular & Urticarial
229,Neoplastic,rare,diagnosis,False,Glycogen-Rich Clear Cell Carcinoma Of The Breast,Glycogen-Rich Clear Cell Carcinoma of the Breast,Malignant
230,Inflammatory,rare,diagnosis,True,Deep Morphea (Morphea Profunda),Morphea Profunda,Autoimmune
231,Infectious,moderate,diagnosis,False,Cutaneous Leishmaniasis,Cutaneous Leishmaniasis,Parasitic & Other
233,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
234,Infectious,rare,diagnosis,False,Osteoarticular Sporotrichosis,Osteoarticular Sporotrichosis,Fungal
232,Neoplastic,rare,diagnosis,False,Basal Cell Carcinoma With Matrical Differentiation,Basal Cell Carcinoma With Matrical Differentiation,Malignant
235,Inflammatory,rare,diagnosis,False,Immune Checkpoint Inhibitor-Induced Neutropenia,Immune Checkpoint Inhibitor-Induced Neutropenia,Autoimmune
236,Neoplastic,moderate,diagnosis,False,Invasive Lobular Breast Carcinoma,Invasive Lobular Carcinoma,Malignant
237,Infectious,rare,diagnosis,False,Herpes Zoster Myelitis,Herpes Zoster Myelitis,Viral
240,Inflammatory,rare,diagnosis,False,Neuro-Behçet'S Disease,Neuro-Behçet's Disease,Vascular & Urticarial
238,Inflammatory,rare,diagnosis,False,Idiopathic Granulomatous Mastitis,Idiopathic Granulomatous Mastitis,Neutrophilic
241,Metabolic Systemic,moderate,diagnosis,False,Syndrome Of Inappropriate Antidiuretic Hormone Secretion,Syndrome of Inappropriate Antidiuretic Hormone Secretion,Endocrine-Associated
242,Genetic Rare,rare,diagnosis,False,Pik3Ca-Related Overgrowth Spectrum / Facial Infiltrating Lipomatosis,PIK3CA-Related Overgrowth Spectrum,Syndromic
243,Inflammatory,rare,diagnosis,False,Radiation Recall Dermatitis,Radiation Recall Dermatitis,Eczematous
244,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
245,Neoplastic,rare,diagnosis,True,Kaposiform Hemangioendothelioma,Kaposiform Hemangioendothelioma,Vascular Tumours
246,Neoplastic,common,diagnosis,False,Metastatic Breast Carcinoma,Metastatic Breast Carcinoma,Malignant
239,Genetic Rare,rare,diagnosis,False,Phakomatosis Pigmentokeratotica,Phakomatosis Pigmentokeratotica,Syndromic
247,Genetic Rare,rare,diagnosis,False,Pachyonychia Congenita,Pachyonychia Congenita,Genodermatoses
248,Inflammatory,moderate,diagnosis,False,Giant Cell Arteritis,Giant Cell Arteritis,Vascular & Urticarial
250,Inflammatory,moderate,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
249,Neoplastic,rare,diagnosis,False,Primary Spinal Melanocytoma,Primary Spinal Melanocytoma,Benign
251,Infectious,moderate,diagnosis,True,Malassezia Folliculitis,Malassezia Folliculitis,Fungal
252,Inflammatory,rare,diagnosis,False,Anca-Associated Vasculitis With Concurrent Anti-Gbm Disease,ANCA-Associated Vasculitis With Concurrent Anti-GBM Disease,Vascular & Urticarial
253,Inflammatory,rare,diagnosis,False,Silicone-Induced Lymphadenitis,Silicone-Induced Lymphadenitis,Autoimmune
254,Inflammatory,moderate,diagnosis,True,Foreign Body Granuloma Due To Dermal Filler,Foreign Body Granuloma Due To Dermal Filler,Autoimmune
256,Neoplastic,moderate,diagnosis,True,Glomus Tumor,Glomus Tumor,Benign
255,Neoplastic,common,diagnosis,False,Melanoma,Melanoma,Malignant
257,Metabolic Systemic,rare,diagnosis,False,Iatrogenic Calcinosis Cutis,Iatrogenic Calcinosis Cutis,Systemic Disease Manifestations
260,Inflammatory,moderate,diagnosis,False,Kawasaki Disease,Kawasaki Disease,Vascular & Urticarial
259,Inflammatory,rare,diagnosis,False,Lymphocytic Mastopathy,Lymphocytic Mastopathy,Autoimmune
258,Neoplastic,rare,diagnosis,False,Primary Mediastinal Malignant Melanoma,Primary Mediastinal Malignant Melanoma,Malignant
261,Inflammatory,rare,diagnosis,False,Takayasu Arteritis,Takayasu's Arteritis,Vascular & Urticarial
262,Infectious,moderate,diagnosis,False,Cryptococcal Meningitis,Cryptococcal Meningitis,Fungal
263,Genetic Rare,rare,diagnosis,False,Hereditary Angioedema Type Ii,Hereditary Angioedema Due To C1-Inhibitor Deficiency,Metabolic-Genetic
264,Genetic Rare,rare,diagnosis,False,Hypohidrotic Ectodermal Dysplasia,Hypohidrotic Ectodermal Dysplasia,Syndromic
265,Metabolic Systemic,common,diagnosis,False,Diabetic Foot Infection,Diabetic Foot Infection,Endocrine-Associated
267,Neoplastic,moderate,diagnosis,False,Metastatic Breast Cancer With Biliary Infiltration,Metastatic Breast Carcinoma With Biliary Infiltration,Malignant
268,Inflammatory,rare,diagnosis,False,Hck-Associated Autoinflammatory Disease,HCK-Associated Autoinflammatory Disease,Autoimmune
269,Neoplastic,common,diagnosis,True,Nodular Melanoma,Nodular Melanoma,Malignant
266,Infectious,rare,diagnosis,False,Para-Kala-Azar Dermal Leishmaniasis,Post-Kala-Azar Dermal Leishmaniasis,Parasitic & Other
272,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
270,Inflammatory,moderate,diagnosis,False,Drug-Induced Oral Lichenoid Lesion,Drug-Induced Oral Lichenoid Lesion,Papulosquamous
273,Genetic Rare,rare,diagnosis,False,Werner Syndrome,Werner Syndrome,Metabolic-Genetic
274,Genetic Rare,rare,diagnosis,False,Adams-Oliver Syndrome,Adams-Oliver Syndrome,Syndromic
271,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
276,Inflammatory,rare,diagnosis,False,Epidermolysis Bullosa Acquisita,Epidermolysis Bullosa Acquisita,Autoimmune
275,Other,rare,diagnosis,False,Sneddon Syndrome,Sneddon Syndrome,Unclassified
277,Inflammatory,moderate,diagnosis,False,Immune Thrombocytopenic Purpura,Immune Thrombocytopenic Purpura,Vascular & Urticarial
279,Other,rare,diagnosis,False,Cronkhite-Canada Syndrome,Cronkhite–Canada Syndrome,Unclassified
280,Inflammatory,rare,diagnosis,False,Intestinal Behçet'S Disease,Intestinal Behçet's Disease,Neutrophilic
282,Neoplastic,rare,diagnosis,False,Blastic Plasmacytoid Dendritic Cell Neoplasm,Blastic Plasmacytoid Dendritic Cell Neoplasm,Malignant
283,Infectious,common,diagnosis,False,Condyloma Acuminatum,Condylomata Acuminata,Viral
284,Inflammatory,rare,diagnosis,False,Juvenile Xanthogranuloma,Juvenile Xanthogranuloma,Autoimmune
285,Inflammatory,rare,diagnosis,False,Pemphigus Vegetans,Pemphigus Vegetans,Autoimmune
286,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
281,Genetic Rare,rare,diagnosis,False,Vascular Ehlers-Danlos Syndrome,Vascular Ehlers-Danlos Syndrome,Syndromic
287,Inflammatory,moderate,diagnosis,False,Anca-Associated Vasculitis,ANCA-Associated Vasculitis,Vascular & Urticarial
278,Genetic Rare,rare,diagnosis,False,Poikiloderma With Neutropenia (Clericuzio-Type),Poikiloderma with Neutropenia,Genodermatoses
288,Inflammatory,rare,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
289,Neoplastic,rare,diagnosis,False,Primary Well-Differentiated Neuroendocrine Tumor Of The Breast,Primary Well-Differentiated Neuroendocrine Tumor Of The Breast,Benign
290,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Induced Hypophysitis,Immune Checkpoint Inhibitor-Induced Hypophysitis,Autoimmune
291,Inflammatory,rare,diagnosis,False,Immunotherapy-Induced Hypophysitis,Immune Checkpoint Inhibitor-Induced Hypophysitis,Autoimmune
292,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
293,Neoplastic,rare,diagnosis,False,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma,Malignant
294,Neoplastic,rare,diagnosis,False,Mucinous Cystadenocarcinoma Of The Breast,Mucinous Cystadenocarcinoma Of The Breast,Malignant
296,Genetic Rare,rare,diagnosis,True,Hailey-Hailey Disease,Hailey-Hailey Disease,Genodermatoses
297,Genetic Rare,rare,diagnosis,False,Hereditary Angioedema Type Ii,Hereditary Angioedema Due To C1-Inhibitor Deficiency,Metabolic-Genetic
295,Infectious,moderate,diagnosis,False,Ramsay Hunt Syndrome,Ramsay Hunt Syndrome,Viral
299,Neoplastic,rare,diagnosis,True,Cutaneous Angiosarcoma,Cutaneous Angiosarcoma,Malignant
301,Inflammatory,moderate,diagnosis,False,Dystrophic Calcinosis Cutis,Dystrophic Calcinosis Cutis,Autoimmune
302,Neoplastic,moderate,diagnosis,False,Breast Cancer Brain Metastases,Breast Cancer Brain Metastases,Malignant
300,Neoplastic,rare,diagnosis,False,Upper Tract Urothelial Carcinoma,Upper Tract Urothelial Carcinoma,Malignant
303,Inflammatory,rare,diagnosis,False,Seronegative Spondyloarthropathy And Takayasu'S Arteritis,Seronegative Spondyloarthropathy And Takayasu's Arteritis,Vascular & Urticarial
304,Other,rare,diagnosis,False,Multicentric Castleman Disease,Multicentric Castleman Disease,Unclassified
306,Inflammatory,rare,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
305,Neoplastic,moderate,diagnosis,False,Mycosis Fungoides,Mycosis Fungoides,Malignant
307,Genetic Rare,rare,diagnosis,False,Xeroderma Pigmentosum,Xeroderma Pigmentosum,Genodermatoses
309,Inflammatory,rare,diagnosis,False,Idiopathic Granulomatous Mastitis,Idiopathic Granulomatous Mastitis,Neutrophilic
308,Neoplastic,moderate,diagnosis,False,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Malignant
311,Neoplastic,moderate,diagnosis,False,Metastatic Carcinoma To The Skull,Metastatic Carcinoma To The Skull,Malignant
310,Infectious,moderate,diagnosis,True,Cutaneous Leishmaniasis,Cutaneous Leishmaniasis,Parasitic & Other
312,Neoplastic,moderate,diagnosis,False,Oncocytic Follicular Thyroid Carcinoma,Oncocytic Follicular Thyroid Carcinoma,Malignant
313,Inflammatory,rare,diagnosis,False,Pyoderma Gangrenosum,Pyoderma Gangrenosum,Neutrophilic
314,Other,moderate,diagnosis,True,Capillary Hemangioma,Capillary Hemangioma,Unclassified
315,Neoplastic,moderate,diagnosis,False,Mycosis Fungoides,Mycosis Fungoides,Malignant
316,Inflammatory,rare,diagnosis,False,Pyoderma Gangrenosum,Pyoderma Gangrenosum,Neutrophilic
317,Inflammatory,moderate,diagnosis,False,Ulcerative Colitis,Ulcerative Colitis,Neutrophilic
318,Neoplastic,rare,diagnosis,False,Primary Cutaneous Myoepithelial Carcinoma,Primary Cutaneous Myoepithelial Carcinoma,Malignant
319,Neoplastic,rare,diagnosis,False,Nodal Cellular Blue Nevus,Nodal Cellular Blue Nevus,Benign
320,Other,rare,diagnosis,False,Giant Emphysematous Bulla,Giant Emphysematous Bulla,Unclassified
322,Infectious,rare,diagnosis,True,Kaposi'S Varicelliform Eruption,Kaposi's Varicelliform Eruption,Viral
323,Neoplastic,rare,diagnosis,False,Primary Cutaneous Peripheral T-Cell Lymphoma With T-Follicular Helper Phenotype,Primary Cutaneous Peripheral T-Cell Lymphoma With T-Follicular Helper Phenotype,Malignant
321,Genetic Rare,rare,diagnosis,False,Acrodermatitis Enteropathica,Acrodermatitis Enteropathica,Metabolic-Genetic
325,Infectious,rare,diagnosis,True,Actinomycetoma,Actinomycetoma,Bacterial
324,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Induced Hepatitis,Immune Checkpoint Inhibitor-Induced Hepatitis,Autoimmune
326,Neoplastic,rare,diagnosis,False,Metastatic Breast Carcinoma To The Vagina,Metastatic Breast Carcinoma To The Vagina,Malignant
327,Genetic Rare,rare,diagnosis,True,Griscelli Syndrome Type 2,Griscelli Syndrome Type 2,Syndromic
328,Neoplastic,common,diagnosis,False,Basal Cell Carcinoma,Basal Cell Carcinoma,Malignant
330,Inflammatory,moderate,diagnosis,False,Chronic Spontaneous Urticaria,Chronic Spontaneous Urticaria,Vascular & Urticarial
329,Inflammatory,moderate,diagnosis,False,Bladder Pain Syndrome (Interstitial Cystitis),Interstitial Cystitis,Autoimmune
332,Other,moderate,diagnosis,False,Drug-Induced Liver Injury,Drug-Induced Liver Injury,Drug-Induced
331,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
333,Neoplastic,common,diagnosis,False,Metastatic Ductal Breast Carcinoma,Metastatic Invasive Ductal Carcinoma of the Breast,Malignant
334,Inflammatory,moderate,diagnosis,False,Acute Febrile Neutrophilic Dermatosis,Sweet's Syndrome,Neutrophilic
335,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Associated Exfoliative Cutaneous Adverse Reaction,Immune Checkpoint Inhibitor-Associated Exfoliative Cutaneous Adverse Reaction,Papulosquamous
336,Inflammatory,moderate,diagnosis,False,Erosive Lichen Planus,Erosive Lichen Planus,Papulosquamous
337,Metabolic Systemic,rare,diagnosis,False,Marasmic-Kwashiorkor,Marasmic Kwashiorkor,Nutritional
338,Inflammatory,moderate,diagnosis,False,Cryoglobulinemic Vasculitis Type Ii,Cryoglobulinemic Vasculitis Type II,Vascular & Urticarial
339,Inflammatory,moderate,diagnosis,False,Incomplete Kawasaki Disease,Incomplete Kawasaki Disease,Vascular & Urticarial
340,Metabolic Systemic,rare,diagnosis,False,Acquired Generalized Lipodystrophy,Acquired Generalized Lipodystrophy,Endocrine-Associated
341,Infectious,moderate,diagnosis,False,Disseminated Coccidioidomycosis,Disseminated Coccidioidomycosis,Fungal
342,Neoplastic,moderate,diagnosis,False,Multiple Myeloma,Multiple Myeloma,Malignant
343,Inflammatory,rare,diagnosis,False,Langerhans Cell Histiocytosis,Langerhans Cell Histiocytosis,Eczematous
344,Neoplastic,rare,diagnosis,False,Disseminated Juvenile Xanthogranuloma,Disseminated Juvenile Xanthogranuloma,Benign
345,Genetic Rare,rare,diagnosis,False,X-Linked Hypohidrotic Ectodermal Dysplasia,X-Linked Hypohidrotic Ectodermal Dysplasia,Syndromic
346,Genetic Rare,rare,diagnosis,False,Kyphoscoliotic Ehlers-Danlos Syndrome Due To Fkbp14 Mutation,Kyphoscoliotic Ehlers-Danlos Syndrome,Syndromic
347,Neoplastic,rare,diagnosis,True,Reticulated Acanthoma With Sebaceous Differentiation,Reticulated Acanthoma with Sebaceous Differentiation,Benign
349,Other,rare,diagnosis,False,Epiploic Appendagitis,Epiploic Appendagitis,Unclassified
348,Pigmentation,rare,diagnosis,False,Idiopathic Confetti-Like Leukoderma,Idiopathic Confetti-Like Leukoderma,Hypopigmentation
350,Inflammatory,moderate,diagnosis,False,Postpartum Thyroiditis,Postpartum Thyroiditis,Autoimmune
351,Infectious,rare,diagnosis,False,Nocardiosis,Nocardiosis,Bacterial
352,Neoplastic,common,diagnosis,True,Basal Cell Carcinoma,Basal Cell Carcinoma,Malignant
353,Neoplastic,common,diagnosis,True,Squamous Cell Carcinoma,Squamous Cell Carcinoma,Malignant
354,Neoplastic,rare,diagnosis,False,Primary Cutaneous Cribriform Tumor,Primary Cutaneous Cribriform Tumor,Benign
355,Neoplastic,rare,diagnosis,False,Invasive Lobular Carcinoma With Somatic Erbb2 Mutations,Invasive Lobular Carcinoma With Somatic ERBB2 Mutations,Malignant
356,Inflammatory,rare,diagnosis,False,Erythema Elevatum Diutinum,Erythema Elevatum Diutinum,Neutrophilic
357,Metabolic Systemic,rare,diagnosis,False,Cutaneous Immunoglobulin Light Chain Amyloidosis,Cutaneous Immunoglobulin Light Chain Amyloidosis,Systemic Disease Manifestations
358,Inflammatory,rare,diagnosis,False,Polyarteritis Nodosa,Polyarteritis Nodosa,Vascular & Urticarial
361,Inflammatory,rare,diagnosis,False,Immune Checkpoint Inhibitor-Induced Pancreatitis,Immune Checkpoint Inhibitor-Induced Pancreatitis,Autoimmune
359,Inflammatory,rare,diagnosis,False,Acute Generalized Exanthematous Pustulosis,Acute Generalized Exanthematous Pustulosis,Neutrophilic
360,Inflammatory,moderate,diagnosis,False,Behçet'S Disease,Behçet's Disease,Neutrophilic
363,Inflammatory,rare,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
365,Inflammatory,rare,diagnosis,False,G-Csf-Induced Large-Vessel Vasculitis (Aortitis),G-CSF-Induced Large-Vessel Vasculitis,Vascular & Urticarial
366,Inflammatory,rare,diagnosis,True,Lupus Miliaris Disseminatus Faciei,Lupus Miliaris Disseminatus Faciei,Autoimmune
367,Inflammatory,rare,diagnosis,False,Behçet'S Disease,Behçet's Disease,Neutrophilic
364,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
362,Metabolic Systemic,rare,diagnosis,False,Acquired Lipodystrophy,Acquired Generalized Lipodystrophy,Endocrine-Associated
368,Inflammatory,rare,diagnosis,False,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis,Autoimmune
370,Other,moderate,diagnosis,False,Raynaud'S Phenomenon,Raynaud's Phenomenon,Unclassified
369,Neoplastic,rare,diagnosis,True,Metaplastic Carcinoma Of The Breast,Metaplastic Breast Carcinoma,Malignant
371,Other,rare,diagnosis,False,Pseudoangiomatous Stromal Hyperplasia,Pseudoangiomatous Stromal Hyperplasia,Unclassified
372,Neoplastic,rare,diagnosis,False,Metastatic Breast Carcinoma Within A Parathyroid Adenoma,Metastatic Breast Carcinoma Within A Parathyroid Adenoma,Malignant
373,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
375,Infectious,rare,diagnosis,True,Nasal Leishmaniasis,Mucosal Leishmaniasis,Parasitic & Other
374,Metabolic Systemic,rare,diagnosis,False,Light And Heavy Chain Deposition Disease,Light And Heavy Chain Deposition Disease,Systemic Disease Manifestations
376,Infectious,rare,diagnosis,False,Pulmonary Chromomycosis,Pulmonary Chromomycosis,Fungal
377,Inflammatory,rare,diagnosis,True,Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis,Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis,Autoimmune
378,Infectious,moderate,diagnosis,True,Sycosis Barbae,Sycosis Barbae,Bacterial
379,Inflammatory,moderate,diagnosis,False,Iatrogenic Cushing'S Syndrome,Iatrogenic Cushing's Syndrome,Unclassified
381,Inflammatory,rare,diagnosis,False,Anti-Mda5 Dermatomyositis,Anti-MDA5 Antibody-Associated Dermatomyositis,Autoimmune
382,Inflammatory,moderate,diagnosis,False,Primary Biliary Cholangitis,Primary Biliary Cholangitis,Autoimmune
380,Neoplastic,common,diagnosis,True,Metastatic Malignant Melanoma,Metastatic Melanoma,Malignant
384,Neoplastic,moderate,mechanism,False,General,General,Unclassified
386,Metabolic Systemic,moderate,diagnosis,False,Chronic Limb-Threatening Ischemia,Chronic Limb-Threatening Ischemia,Systemic Disease Manifestations
385,Inflammatory,moderate,diagnosis,False,Sarcoidosis,Sarcoidosis,Autoimmune
383,Pigmentation,moderate,diagnosis,True,Vitiligo,Vitiligo,Hypopigmentation
388,Inflammatory,rare,diagnosis,False,Anca-Associated Vasculitis With Lupus Nephritis Overlap,ANCA-Associated Vasculitis With Lupus Nephritis Overlap,Vascular & Urticarial
389,Neoplastic,moderate,diagnosis,False,Mycosis Fungoides,Mycosis Fungoides,Malignant
390,Metabolic Systemic,rare,diagnosis,True,Combined Central Retinal Vein Occlusion And Central Retinal Artery Occlusion,Combined Central Retinal Vein Occlusion And Central Retinal Artery Occlusion,Systemic Disease Manifestations
392,Neoplastic,rare,diagnosis,False,Undifferentiated Melanoma,Undifferentiated Melanoma,Malignant
391,Neoplastic,rare,diagnosis,True,Large Cell Neuroendocrine Carcinoma Of The Breast,Large Cell Neuroendocrine Carcinoma Of The Breast,Malignant
393,Inflammatory,moderate,diagnosis,True,Hand-Foot Skin Reaction,Hand-Foot Skin Reaction,Eczematous
394,Inflammatory,rare,diagnosis,False,Klhl11 Autoimmune Encephalitis,KLHL11 Autoimmune Encephalitis,Autoimmune
396,Inflammatory,moderate,diagnosis,True,Dermatomyositis,Dermatomyositis,Autoimmune
397,Neoplastic,moderate,diagnosis,False,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Malignant
395,Neoplastic,moderate,diagnosis,False,Primary Cutaneous Follicle Center Lymphoma,Primary Cutaneous Follicle Center Lymphoma,Malignant
398,Other,rare,diagnosis,False,Plastic Bronchitis,Plastic Bronchitis,Unclassified
400,Neoplastic,rare,diagnosis,False,Cutaneous Analog Of Cribriform Adenocarcinoma Of Salivary Glands,Cutaneous Analog of Cribriform Adenocarcinoma of Salivary Glands,Malignant
401,Metabolic Systemic,common,diagnosis,True,Diabetic Foot Ulcer,Diabetic Foot Ulcer,Endocrine-Associated
399,Other,rare,diagnosis,False,Tracheal Duplication Cyst With Steatocystomatous Histology,Tracheal Duplication Cyst With Steatocystomatous Histology,Unclassified
402,Neoplastic,rare,diagnosis,False,Gamma Delta T-Cell Acute Lymphoblastic Leukemia,Gamma Delta T-Cell Acute Lymphoblastic Leukemia,Malignant
403,Inflammatory,rare,diagnosis,True,Generalised Bullous Fixed Drug Eruption,Generalized Bullous Fixed Drug Eruption,Eczematous
407,Inflammatory,moderate,diagnosis,False,Secondary Adrenal Insufficiency,Secondary Adrenal Insufficiency,Autoimmune
405,Genetic Rare,rare,diagnosis,False,Hermansky–Pudlak Syndrome,Hermansky-Pudlak Syndrome,Syndromic
406,Inflammatory,rare,diagnosis,False,Cutaneous Polyarteritis Nodosa,Cutaneous Polyarteritis Nodosa,Vascular & Urticarial
404,Other,rare,diagnosis,True,Yellow Nail Syndrome,Yellow Nail Syndrome,Unclassified
410,Neoplastic,moderate,diagnosis,False,Metastatic Breast Carcinoma,Metastatic Breast Carcinoma,Malignant
409,Genetic Rare,rare,diagnosis,False,Nail-Patella Syndrome,Nail-Patella Syndrome,Syndromic
408,Hair Nail,moderate,diagnosis,True,Anagen Effluvium,Anagen Effluvium,Hair Loss
411,Inflammatory,rare,diagnosis,True,Juvenile Dermatomyositis,Juvenile Dermatomyositis,Autoimmune
414,Inflammatory,moderate,diagnosis,False,Sarcoidosis,Sarcoidosis,Autoimmune
413,Inflammatory,rare,diagnosis,True,Scar Sarcoidosis,Scar Sarcoidosis,Autoimmune
412,Inflammatory,rare,diagnosis,False,Psoriasiform Alopecia Secondary To Anti-Tnf-Alpha Therapy,Psoriasiform Alopecia Secondary To Anti-TNF-Alpha Therapy,Papulosquamous
415,Inflammatory,rare,diagnosis,True,Verrucous Psoriasis,Verrucous Psoriasis,Papulosquamous
416,Infectious,common,diagnosis,False,Diabetic Foot Ulcer With Osteomyelitis,Diabetic Foot Ulcer With Osteomyelitis,Bacterial
417,Neoplastic,rare,diagnosis,True,Combined Nevus,Combined Nevus,Benign
418,Genetic Rare,rare,diagnosis,False,Cornelia De Lange Syndrome Type 4,Cornelia De Lange Syndrome Type 4,Syndromic
419,Inflammatory,rare,diagnosis,True,Generalized Pustular Psoriasis,Generalized Pustular Psoriasis,Papulosquamous
420,Inflammatory,rare,diagnosis,False,Inflammatory Cardiomyopathy,Inflammatory Cardiomyopathy,Autoimmune
423,Inflammatory,rare,diagnosis,True,Multiple Eruptive Dermatofibromas,Multiple Eruptive Dermatofibromas,Autoimmune
421,Genetic Rare,rare,diagnosis,False,Keratitis-Ichthyosis-Deafness (Kid) Syndrome,Keratitis-Ichthyosis-Deafness Syndrome,Syndromic
422,Other,moderate,diagnosis,False,Drug-Induced Liver Injury,Drug-Induced Liver Injury,Drug-Induced
424,Inflammatory,rare,diagnosis,False,Chronic Chemical-Induced Dermatosis,Chronic Chemical-Induced Dermatosis,Eczematous
425,Inflammatory,rare,diagnosis,True,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis,Autoimmune
427,Genetic Rare,rare,diagnosis,False,Classic Ehlers-Danlos Syndrome,Classic Ehlers-Danlos Syndrome,Genodermatoses
426,Genetic Rare,rare,diagnosis,False,Spondylodysplastic Ehlers-Danlos Syndrome,Spondylodysplastic Ehlers-Danlos Syndrome,Syndromic
428,Other,rare,diagnosis,False,Gastropleurocutaneous Fistula,Gastropleurocutaneous Fistula,Traumatic & Environmental
429,Inflammatory,rare,diagnosis,True,Stevens-Johnson Syndrome,Stevens-Johnson Syndrome,Autoimmune
430,Infectious,common,diagnosis,False,Condylomata Acuminata,Condylomata Acuminata,Viral
433,Neoplastic,moderate,diagnosis,False,Small Lymphocytic Lymphoma,Small Lymphocytic Lymphoma,Malignant
432,Infectious,rare,diagnosis,False,Purulent Pericarditis With Pericardio-Cutaneous Fistula,Purulent Pericarditis With Pericardio-Cutaneous Fistula,Bacterial
434,Inflammatory,rare,diagnosis,False,Paraneoplastic Pemphigus,Paraneoplastic Pemphigus,Autoimmune
435,Inflammatory,moderate,diagnosis,False,Occupational Allergic Contact Dermatitis,Occupational Allergic Contact Dermatitis,Eczematous
436,Neoplastic,moderate,diagnosis,False,Leptomeningeal Metastases,Leptomeningeal Metastasis,Malignant
437,Neoplastic,common,diagnosis,False,Invasive Breast Carcinoma Of No Special Type,Invasive Breast Carcinoma,Malignant
438,Infectious,common,diagnosis,False,Osteomyelitis,Osteomyelitis,Bacterial
439,Genetic Rare,moderate,diagnosis,False,Ichthyosis Vulgaris,Ichthyosis Vulgaris,Genodermatoses
431,Inflammatory,moderate,diagnosis,False,Dermatomyositis,Dermatomyositis,Autoimmune
441,Inflammatory,rare,diagnosis,False,Takayasu Arteritis,Takayasu's Arteritis,Vascular & Urticarial
442,Inflammatory,moderate,diagnosis,False,Psoriasiform Cutaneous Immune-Related Adverse Event,Psoriasiform Cutaneous Immune-Related Adverse Event,Papulosquamous
443,Neoplastic,common,diagnosis,True,Infantile Hemangioma,Infantile Hemangioma,Vascular Tumours
440,Neoplastic,rare,diagnosis,False,Alk-Negative Anaplastic Large Cell Lymphoma,ALK-Negative Anaplastic Large Cell Lymphoma,Malignant
445,Genetic Rare,rare,diagnosis,False,Striate Palmoplantar Keratoderma,Striate Palmoplantar Keratoderma,Genodermatoses
444,Infectious,rare,diagnosis,False,Disseminated Cryptococcus Gattii Infection,Disseminated Cryptococcus gattii Infection,Fungal
